%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1683047733.020257616,199,1683047733.020257616,-0.0134249,-9.28515e-05,-0.000895641,0.000133854,-0.000115837,0.000375271,1
1683047733.111073270,200,1683047733.111073270,-0.0128874,-0.00157696,0.000347948,0.000186408,-0.000100505,0.000389309,1
1683047733.268947977,201,1683047733.268947977,-0.0125028,-0.000999518,-0.00045812,0.000196735,-0.000116705,0.000402698,1
1683047733.351033414,202,1683047733.351033414,-0.0131461,0.000239723,0.00118202,0.000128808,-0.000116944,0.000393602,1
1683047733.474720045,203,1683047733.474720045,-0.0124139,-0.00183721,0.00278573,0.00013909,-7.92073e-05,0.000407911,1
1683047733.556093765,204,1683047733.556093765,-0.0126459,-0.00192414,0.00251209,0.000179713,-8.32355e-05,0.000410251,1
1683047733.635553721,205,1683047733.635553721,-0.0130134,-0.00216425,0.00309897,0.000189364,4.79529e-06,0.000430992,1
1683047733.734659008,206,1683047733.734659008,-0.0141949,-0.000141851,-0.00178441,0.000187449,-0.000145606,0.000305012,1
1683047733.801620819,207,1683047733.801620819,-0.0142477,0.000898256,-0.00357925,0.000150465,-0.000155244,0.000237247,1
1683047733.949506042,208,1683047733.949506042,-0.0120367,0.000756432,-0.00415783,0.000179808,-0.000139953,0.000283566,1
1683047734.034529862,209,1683047734.034529862,-0.0124325,0.00206094,-0.00438629,0.000184964,-0.000144608,0.000300272,1
1683047734.155638598,210,1683047734.155638598,-0.0126041,0.000756395,-0.00192567,0.0001361,-0.000136076,0.000349054,1
1683047734.254783469,211,1683047734.254783469,-0.0133754,0.000111789,-0.000387395,0.000162917,-0.000126745,0.000374631,1
1683047734.317721148,212,1683047734.317721148,-0.0113485,0.00118976,-0.00178173,0.000155095,-0.000130739,0.000339626,1
1683047734.431990778,213,1683047734.431990778,-0.00967478,-0.000613226,0.00109833,0.000112582,-8.08327e-05,0.000365925,1
1683047734.525265837,214,1683047734.525265837,-0.0131795,-0.000178331,0.00055056,0.000185577,-6.81987e-05,0.000305614,1
1683047734.623353161,215,1683047734.623353161,-0.0144443,-0.00068816,0.00263177,0.000170834,-0.00013108,0.00035488,1
1683047734.761337860,216,1683047734.761337860,-0.0157514,-0.000959377,0.000960308,0.000195439,-6.03928e-05,0.000374719,1
