time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577840643.09960079,0.05946962,0.00373931,0.00000658,42478.00000000,0.08519709,0.000000,0.000000
1577840643.19944596,0.05940547,0.00259264,0.00000411,42479.00000000,0.02008329,0.000000,0.000000
1577840643.29929304,0.05949938,0.00817583,0.00001164,42488.00000000,0.11715748,0.000000,0.000000
1577840643.39992285,0.05961183,0.00408567,0.00000854,42496.00000000,0.12877036,0.000000,0.000000
1577840643.49975610,0.05963431,0.00412215,0.00001111,42503.00000000,0.07348130,0.000000,0.000000
1577840643.59959912,0.05960546,0.00440384,0.00000714,42504.00000000,0.04180876,0.000000,0.000000
1577840643.69944715,0.05959615,0.00420329,0.00000515,42519.00000000,0.05383786,0.000000,0.000000
1577840643.79929185,0.05958606,0.00409241,0.00000552,42523.00000000,0.05334373,0.000000,0.000000
1577840643.89993191,0.05962990,0.00402459,0.00000523,42526.00000000,0.08681236,0.000000,0.000000
1577840643.99977183,0.05960458,0.00409788,0.00000845,42527.00000000,0.04388014,0.000000,0.000000
1577840644.09960198,0.05960945,0.00441927,0.00000587,42543.00000000,0.06263907,0.000000,0.000000
1577840644.19944096,0.05956010,0.00410176,0.00000639,42547.00000000,0.02881438,0.000000,0.000000
1577840644.29928613,0.05967673,0.00418570,0.00000912,42561.00000000,0.13245481,0.000000,0.000000
1577840644.39991713,0.05976648,0.00589646,0.00000533,42570.00000000,0.11585466,0.000000,0.000000
1577840644.49976897,0.05980694,0.00408402,0.00000950,42580.00000000,0.08513979,0.000000,0.000000
1577840644.59963012,0.05988588,0.00301676,0.00001113,42581.00000000,0.10937938,0.000000,0.000000
1577840644.69947910,0.05985083,0.00362278,0.00000790,42598.00000000,0.03784168,0.000000,0.000000
1577840644.79931903,0.05980554,0.00359412,0.00000570,42616.00000000,0.03131742,0.000000,0.000000
1577840644.89996219,0.05974636,0.00490949,0.00000574,42643.00000000,0.02246002,0.000000,0.000000
1577840644.99980211,0.05968653,0.00379554,0.00000529,42631.00000000,0.02193812,0.000000,0.000000
1577840645.09963298,0.05962534,0.00315223,0.00000485,42703.00000000,0.02095118,0.000000,0.000000
1577840645.19947004,0.05956320,0.00328027,0.00000543,42774.00000000,0.02022691,0.000000,0.000000
1577840645.29931903,0.05950587,0.00377053,0.00000555,42839.00000000,0.02315803,0.000000,0.000000
1577840645.39996386,0.05944855,0.00390033,0.00000546,42906.00000000,0.02305133,0.000000,0.000000
1577840645.49981117,0.05941882,0.00396654,0.00000606,42986.00000000,0.04051031,0.000000,0.000000
1577840645.59965897,0.05947838,0.00510940,0.00000761,43124.00000000,0.09741899,0.000000,0.000000
1577840645.69950008,0.05946293,0.00512477,0.00000713,43255.00000000,0.04960571,0.000000,0.000000
1577840645.79934597,0.05951909,0.00917225,0.00000686,43384.00000000,0.09540487,0.000000,0.000000
1577840645.89999104,0.05951900,0.00562315,0.00000938,43543.00000000,0.05946160,0.000000,0.000000
1577840645.99983096,0.05954950,0.00990500,0.00000698,43643.00000000,0.07909732,0.000000,0.000000
1577840646.09966993,0.05952607,0.00638543,0.00000558,43748.00000000,0.04448756,0.000000,0.000000
1577840646.19950891,0.05947370,0.00423041,0.00000548,43774.00000000,0.02580177,0.000000,0.000000
1577840646.29935002,0.05951257,0.00554608,0.00000780,43795.00000000,0.08454008,0.000000,0.000000
1577840646.39998889,0.05950262,0.00670173,0.00000725,43850.00000000,0.05308683,0.000000,0.000000
1577840646.49983597,0.05955078,0.00364386,0.00000808,43895.00000000,0.09066194,0.000000,0.000000
1577840646.59968305,0.05963403,0.00328173,0.00000803,43907.00000000,0.11349840,0.000000,0.000000
1577840646.69951582,0.05963820,0.00378452,0.00000699,43916.00000000,0.06234161,0.000000,0.000000
1577840646.79934692,0.05958040,0.00247975,0.00000479,43927.00000000,0.02206705,0.000000,0.000000
1577840646.89998889,0.05958934,0.00457392,0.00000432,43916.00000000,0.06539914,0.000000,0.000000
1577840646.99980998,0.05953450,0.00175258,0.00000653,43923.00000000,0.02383628,0.000000,0.000000
1577840647.09964013,0.05946466,0.00186740,0.00000471,43897.00000000,0.01392754,0.000000,0.000000
1577840647.19948697,0.05949245,0.00256755,0.00000802,43884.00000000,0.07763960,0.000000,0.000000
1577840647.29932594,0.05953225,0.00583160,0.00000829,43918.00000000,0.08556106,0.000000,0.000000
1577840647.39996290,0.05967169,0.00762601,0.00000773,44118.00000000,0.15100395,0.000000,0.000000
1577840647.49979591,0.05969477,0.00958407,0.00000735,44308.00000000,0.07483446,0.000000,0.000000
1577840647.59962606,0.05975941,0.00335788,0.00000857,44414.00000000,0.10222941,0.000000,0.000000
1577840647.69944191,0.05984035,0.00293985,0.00000627,44465.00000000,0.11309861,0.000000,0.000000
1577840647.79928708,0.05979840,0.00317159,0.00000607,44480.00000000,0.03215539,0.000000,0.000000
1577840647.89992809,0.05973892,0.00319662,0.00000496,44519.00000000,0.02048131,0.000000,0.000000
1577840647.99977589,0.05968873,0.00420776,0.00000479,44641.00000000,0.02650948,0.000000,0.000000
1577840648.09959984,0.05977268,0.00861215,0.00000679,44852.00000000,0.11534693,0.000000,0.000000
1577840648.19942713,0.05977610,0.00628816,0.00000843,45056.00000000,0.06204792,0.000000,0.000000
1577840648.29967594,0.05989718,0.00822762,0.00000638,45030.00000000,0.14029025,0.000000,0.000000
1577840648.39952207,0.05982853,0.00188097,0.00000486,45038.00000000,0.01418081,0.000000,0.000000
1577840648.49936414,0.05980897,0.00132059,0.00000697,45029.00000000,0.04678091,0.000000,0.000000
1577840648.59961390,0.05976165,0.00559254,0.00000451,45010.00000000,0.02819442,0.000000,0.000000
1577840648.69945002,0.05973171,0.00128311,0.00000662,45009.00000000,0.03973547,0.000000,0.000000
1577840648.79929805,0.05969792,0.00357247,0.00000860,45014.00000000,0.03708923,0.000000,0.000000
1577840648.89993095,0.05968251,0.01250371,0.00000942,45006.00000000,0.04935883,0.000000,0.000000
1577840648.99977589,0.05969185,0.00552286,0.00000549,44981.00000000,0.06596075,0.000000,0.000000
1577840649.09960699,0.05964389,0.00306539,0.00000544,44993.00000000,0.02741532,0.000000,0.000000
1577840649.19945002,0.05961513,0.00257708,0.00000813,45016.00000000,0.04026172,0.000000,0.000000
1577840649.29928493,0.05956018,0.00326899,0.00000541,45040.00000000,0.02252088,0.000000,0.000000
1577840649.39993596,0.05953215,0.00991730,0.00000579,45124.00000000,0.04061292,0.000000,0.000000
1577840649.49977708,0.05954809,0.01530479,0.00000645,45297.00000000,0.07031960,0.000000,0.000000
